"filename", "language", "cmake", "Markdown", "Shell Script", "Properties", "Makefile", "C", "C++", "YAML", "comment", "blank", "total"
"d:\information\IOT\learn\C\opensource\zlog\src\record.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 15, 8, 40
"d:\information\IOT\learn\C\opensource\zlog\src\record_table.c", "C", 0, 0, 0, 0, 0, 39, 0, 0, 16, 9, 64
"d:\information\IOT\learn\C\opensource\zlog\src\record_table.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 14, 5, 27
"d:\information\IOT\learn\C\opensource\zlog\src\rotater.c", "C", 0, 0, 0, 0, 0, 424, 0, 0, 39, 91, 554
"d:\information\IOT\learn\C\opensource\zlog\src\rotater.h", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 20, 9, 54
"d:\information\IOT\learn\C\opensource\zlog\src\rule.c", "C", 0, 0, 0, 0, 0, 852, 0, 0, 78, 154, 1084
"d:\information\IOT\learn\C\opensource\zlog\src\rule.h", "C++", 0, 0, 0, 0, 0, 0, 53, 0, 24, 19, 96
"d:\information\IOT\learn\C\opensource\zlog\src\spec.c", "C", 0, 0, 0, 0, 0, 552, 0, 0, 58, 103, 713
"d:\information\IOT\learn\C\opensource\zlog\src\spec.h", "C++", 0, 0, 0, 0, 0, 0, 37, 0, 16, 15, 68
"d:\information\IOT\learn\C\opensource\zlog\src\thread.c", "C", 0, 0, 0, 0, 0, 144, 0, 0, 18, 30, 192
"d:\information\IOT\learn\C\opensource\zlog\src\thread.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 14, 9, 46
"d:\information\IOT\learn\C\opensource\zlog\src\version.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\information\IOT\learn\C\opensource\zlog\src\zc_arraylist.c", "C", 0, 0, 0, 0, 0, 107, 0, 0, 16, 17, 140
"d:\information\IOT\learn\C\opensource\zlog\src\zc_arraylist.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 15, 11, 49
"d:\information\IOT\learn\C\opensource\zlog\src\zc_defs.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 14, 4, 26
"d:\information\IOT\learn\C\opensource\zlog\src\zc_hashtable.c", "C", 0, 0, 0, 0, 0, 264, 0, 0, 16, 58, 338
"d:\information\IOT\learn\C\opensource\zlog\src\zc_hashtable.h", "C++", 0, 0, 0, 0, 0, 0, 32, 0, 14, 11, 57
"d:\information\IOT\learn\C\opensource\zlog\src\zc_profile.c", "C", 0, 0, 0, 0, 0, 69, 0, 0, 17, 14, 100
"d:\information\IOT\learn\C\opensource\zlog\src\zc_profile.h", "C++", 0, 0, 0, 0, 0, 0, 37, 0, 14, 10, 61
"d:\information\IOT\learn\C\opensource\zlog\src\zc_util.c", "C", 0, 0, 0, 0, 0, 112, 0, 0, 18, 24, 154
"d:\information\IOT\learn\C\opensource\zlog\src\zc_util.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 14, 4, 25
"d:\information\IOT\learn\C\opensource\zlog\src\zc_xplatform.h", "C++", 0, 0, 0, 0, 0, 0, 41, 0, 16, 16, 73
"d:\information\IOT\learn\C\opensource\zlog\src\zlog-chk-conf.c", "C", 0, 0, 0, 0, 0, 51, 0, 0, 14, 13, 78
"d:\information\IOT\learn\C\opensource\zlog\src\zlog.c", "C", 0, 0, 0, 0, 0, 961, 0, 0, 82, 171, 1214
"d:\information\IOT\learn\C\opensource\zlog\src\zlog.h", "C++", 0, 0, 0, 0, 0, 0, 237, 0, 24, 29, 290
"d:\information\IOT\learn\C\opensource\zlog\src\zlog_win.c", "C", 0, 0, 0, 0, 0, 72, 0, 0, 5, 7, 84
"d:\information\IOT\learn\C\opensource\zlog\src\zlog_win.h", "C++", 0, 0, 0, 0, 0, 0, 53, 0, 21, 8, 82
"d:\information\IOT\learn\C\opensource\zlog\test\CMakeLists.txt", "cmake", 44, 0, 0, 0, 0, 0, 0, 0, 0, 12, 56
"d:\information\IOT\learn\C\opensource\zlog\test\fuzzers\zlog_init_fuzzer.c", "C", 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"d:\information\IOT\learn\C\opensource\zlog\test\makefile", "Makefile", 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"d:\information\IOT\learn\C\opensource\zlog\test\test_bitmap.c", "C", 0, 0, 0, 0, 0, 25, 0, 0, 19, 14, 58
"d:\information\IOT\learn\C\opensource\zlog\test\test_buf.c", "C", 0, 0, 0, 0, 0, 77, 0, 0, 14, 20, 111
"d:\information\IOT\learn\C\opensource\zlog\test\test_category.c", "C", 0, 0, 0, 0, 0, 28, 0, 0, 14, 10, 52
"d:\information\IOT\learn\C\opensource\zlog\test\test_category.conf", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\information\IOT\learn\C\opensource\zlog\test\test_conf.c", "C", 0, 0, 0, 0, 0, 26, 0, 0, 14, 10, 50
"d:\information\IOT\learn\C\opensource\zlog\test\test_conf.conf", "Properties", 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"d:\information\IOT\learn\C\opensource\zlog\test\test_conf2.c", "C", 0, 0, 0, 0, 0, 27, 0, 0, 14, 9, 50
"d:\information\IOT\learn\C\opensource\zlog\test\test_conf2.conf.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\information\IOT\learn\C\opensource\zlog\test\test_default.c", "C", 0, 0, 0, 0, 0, 14, 0, 0, 14, 7, 35
"d:\information\IOT\learn\C\opensource\zlog\test\test_default.conf", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\information\IOT\learn\C\opensource\zlog\test\test_enabled.c", "C", 0, 0, 0, 0, 0, 29, 0, 0, 17, 10, 56
"d:\information\IOT\learn\C\opensource\zlog\test\test_enabled.conf", "Properties", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\information\IOT\learn\C\opensource\zlog\test\test_enabled.h", "C++", 0, 0, 0, 0, 0, 0, 11, 0, 19, 7, 37
"d:\information\IOT\learn\C\opensource\zlog\test\test_hashtable.c", "C", 0, 0, 0, 0, 0, 36, 0, 0, 14, 16, 66
"d:\information\IOT\learn\C\opensource\zlog\test\test_hello.c", "C", 0, 0, 0, 0, 0, 21, 0, 0, 14, 8, 43
"d:\information\IOT\learn\C\opensource\zlog\test\test_hello.conf", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\information\IOT\learn\C\opensource\zlog\test\test_hex.c", "C", 0, 0, 0, 0, 0, 80, 0, 0, 14, 26, 120
"d:\information\IOT\learn\C\opensource\zlog\test\test_hex.conf", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\information\IOT\learn\C\opensource\zlog\test\test_init.2.conf", "Properties", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\information\IOT\learn\C\opensource\zlog\test\test_init.c", "C", 0, 0, 0, 0, 0, 42, 0, 0, 14, 8, 64
"d:\information\IOT\learn\C\opensource\zlog\test\test_init.conf", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\information\IOT\learn\C\opensource\zlog\test\test_leak.2.conf", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\information\IOT\learn\C\opensource\zlog\test\test_leak.c", "C", 0, 0, 0, 0, 0, 41, 0, 0, 15, 8, 64
"d:\information\IOT\learn\C\opensource\zlog\test\test_leak.conf", "Properties", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\information\IOT\learn\C\opensource\zlog\test\test_level.c", "C", 0, 0, 0, 0, 0, 23, 0, 0, 14, 8, 45
"d:\information\IOT\learn\C\opensource\zlog\test\test_level.conf", "Properties", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\information\IOT\learn\C\opensource\zlog\test\test_level.h", "C++", 0, 0, 0, 0, 0, 0, 10, 0, 19, 6, 35
"d:\information\IOT\learn\C\opensource\zlog\test\test_longlog.c", "C", 0, 0, 0, 0, 0, 49, 0, 0, 14, 11, 74
"d:\information\IOT\learn\C\opensource\zlog\test\test_longlog.conf", "Properties", 0, 0, 0, 8, 0, 0, 0, 0, 2, 3, 13
"d:\information\IOT\learn\C\opensource\zlog\test\test_mdc.c", "C", 0, 0, 0, 0, 0, 29, 0, 0, 14, 14, 57
"d:\information\IOT\learn\C\opensource\zlog\test\test_mdc.conf", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\information\IOT\learn\C\opensource\zlog\test\test_multithread.c", "C", 0, 0, 0, 0, 0, 157, 0, 0, 23, 36, 216
"d:\information\IOT\learn\C\opensource\zlog\test\test_multithread.conf", "Properties", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\information\IOT\learn\C\opensource\zlog\test\test_pipe.c", "C", 0, 0, 0, 0, 0, 21, 0, 0, 14, 6, 41
"d:\information\IOT\learn\C\opensource\zlog\test\test_pipe.conf", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_syslog.c", "C", 0, 0, 0, 0, 0, 41, 0, 0, 14, 15, 70
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_write.c", "C", 0, 0, 0, 0, 0, 57, 0, 0, 18, 20, 95
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_write2.c", "C", 0, 0, 0, 0, 0, 59, 0, 0, 17, 20, 96
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog.c", "C", 0, 0, 0, 0, 0, 65, 0, 0, 14, 18, 97
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog.conf", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 7, 4, 15
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog2.c", "C", 0, 0, 0, 0, 0, 64, 0, 0, 14, 19, 97
"d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog2.conf", "Properties", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\information\IOT\learn\C\opensource\zlog\test\test_profile.c", "C", 0, 0, 0, 0, 0, 15, 0, 0, 14, 8, 37
"d:\information\IOT\learn\C\opensource\zlog\test\test_profile.conf", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\information\IOT\learn\C\opensource\zlog\test\test_prompt.c", "C", 0, 0, 0, 0, 0, 33, 0, 0, 15, 10, 58
"d:\information\IOT\learn\C\opensource\zlog\test\test_prompt.conf", "Properties", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\information\IOT\learn\C\opensource\zlog\test\test_record.c", "C", 0, 0, 0, 0, 0, 27, 0, 0, 14, 8, 49
"d:\information\IOT\learn\C\opensource\zlog\test\test_record.conf", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\information\IOT\learn\C\opensource\zlog\test\test_syslog.c", "C", 0, 0, 0, 0, 0, 22, 0, 0, 14, 8, 44
"d:\information\IOT\learn\C\opensource\zlog\test\test_syslog.conf", "Properties", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"d:\information\IOT\learn\C\opensource\zlog\test\test_tmp.c", "C", 0, 0, 0, 0, 0, 26, 0, 0, 15, 11, 52
"d:\information\IOT\learn\C\opensource\zlog\test\test_tmp.conf", "Properties", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\information\IOT\learn\C\opensource\zlog\test\val.sh", "Shell Script", 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\information\IOT\learn\C\opensource\zlog\tools\mk_targz.sh", "Shell Script", 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"Total", "-", 300, 106, 21, 199, 36, 6799, 910, 8, 1646, 1880, 11905
